word, 平仮名, hiragana, english, chinese
第一課, だいいっか, daiikka, Lesson 1,
単語, たんご, tango, Vocabulary,
文法, ぶんぽう, bunpou, Grammar,
会話, かいわ, kaiwa, Conversation,
練習, れんしゅう, renshuu, Practice,
留学生, りゅうがくせい, ryuugakusei, International student,
先生, せんせい, sensei, Teacher,
教授, きょうじゅ, kyouju, Professor,
会社員, かいしゃいん, kaishain, Company employee,
店員, てんいん, ten'in, Shop assistant,
企業, きぎょう, kigyou, Business,
大学, だいがく, daigaku, University,
父, ちち, chichi, Father,
お父さん, おとうさん, otousan, Father (polite),
母, はは, haha, Mother,
お母さん, おかあさん, okaasan, Mother (polite),
兄, あに, ani, Older brother,
姉, あね, ane, Older sister,
弟, おとうと, otouto, Younger brother,
妹, いもうと, imouto, Younger sister,
友達, ともだち, tomodachi, Friend, 
家族, かぞく, kazoku, Family,
課長, かちょう, kachou, Section chief,
部長, ぶちょう, buchou, Department head,
社長, しゃちょう, shachou, Company president,
出迎え, でむかえ, demukae, Welcome,
お土産, おみやげ, omiyage, Souvenir,
旅行, りょこう, ryokou, Travel,
あの人, あのひと, ano hito, That person,
貴方, あなた, anata, You,
小野, おの, ono, (surname),
山田, やまだ, yamada, (surname),
佐藤, さとう, satou, (surname),
鈴木, すずき, suzuki, (surname),
田中, たなか, tanaka, (surname),
高橋, たかはし, takahashi, (surname),
中村, なかむら, nakamura, (surname),
渡辺, わたなべ, watanabe, (surname),
伊藤, いとう, itou, (surname),
小林, こばやし, kobayashi, (surname),
中村, なかむら, nakamura, (surname),
太郎, たろう, tarou, (given name),
日中商事, にっちゅうしょうじ, nichiyuu shouji, 日中商社,
本, ほん, hon, Book,
鉛筆, えんぴつ, enpitsu, Pencil,
傘, かさ, kasa, Umbrella,
靴, くつ, kutsu, Shoes,
靴下, くつした, kutsushita, Socks, 袜子
新聞, しんぶん, shinbun, Newspaper, 报纸
雑誌, ざっし, zasshi, Magazine, 
辞書, じしょ, jisho, Dictionary, 字典
電話, でんわ, denwa, Telephone, 
時計, とけい, tokei, Watch, 钟表
腕時計, うでどけい, udedokei, Wristwatch, 手表
机, つくえ, tsukue, Desk, 桌子
椅子, いす, isu, Chair, 椅子
鍵, かぎ, kagi, Key, 钥匙
手帳, てちょう, techou, Notebook, 记事本
写真, しゃしん, shashin, Photograph, 照片
車, くるま, kuruma, Car, 汽车
自転車, じてんしゃ, jitensha, Bicycle, 自行车
自動車, じどうしゃ, jidousha, Automobile, 汽车
お土産, おみやげ, omiyage, Souvenir, 特产
名産品, めいさんひん, meisanhin, Specialty product, 名特产
方, かた, kata, Person (polite), 位
お客様, おきゃくさま, okyakusama, Customer, 客人
家族, かぞく, kazoku, Family, 家庭
これ, これ, kore, This,
それ, それ, sore, That,
あれ, あれ, are, That over there, 那个
どれ, どれ, dore, Which, 哪个
誰, だれ, dare, Who, 誰ですか
どなた, どなた, donata, Who (polite), 哪位
製品, せいひん, seihin, Product, 产品


