カタカナ, katagana, english, chinese
バッグ, baggu, bag, 包包
ノート, nooto, notebook, 笔记本
ペン, pen, pen, 笔
カメラ, kamera, camera, 相机
テレビ, terebi, television, 电视
ラジオ, rajio, radio, 收音机
コンピューター, konpyuutaa, computer, 电脑
パソコン, pasokon, personal computer, 个人电脑
スマートフォン, sumaatofon, smartphone, 智能手机
タブレット, taburetto, tablet, 平板电脑
ケイタイ, keitai, mobile phone, 手机
テーブル, teeburu, table, 桌子
キー, kii, key, 钥匙
シルク, shiruku, silk, 丝绸
ハンカチ, hankachi, handkerchief, 手帕
ロンドン, rondon, London, 伦敦
パリ, pari, Paris, 巴黎
ニューヨーク, nyuuyooku, New York, 纽约
ロサンゼルス, rosanjeresu, Los Angeles, 洛杉矶
